psi_deg,Vr,Vpsi,Mach,p_over_p1,T_over_T1,rho_over_rho1
6.19999999999995,0.31992048643116,-0.57028871081878,0.653894740249297,4.31451184380223,1.52413349275147,2.83079655707413
5.99999999999994,0.317932789587231,-0.568577468771513,0.651430423521453,4.32349671177303,1.52504773260571,2.83499107558153
5.79999999999994,0.315951068395299,-0.566864922700223,0.648969119610526,4.33246067060155,1.52595849833316,2.83917332963773
5.59999999999994,0.313975327320775,-0.56515112211648,0.646510863787844,4.34140343530712,1.52686577519785,2.84334321053503
5.39999999999994,0.312005570656713,-0.563436116260655,0.644055691091781,4.35032472328606,1.5277695487585,2.84750061082265
5.19999999999994,0.31004180252476,-0.561719954102349,0.641603636328183,4.35922425433874,1.52866980486822,2.85164542431355
4.99999999999994,0.308084026876098,-0.560002684340854,0.639154734070831,4.36810175069595,1.5295665296742,2.85577754609102
4.79999999999994,0.306132247492388,-0.558284355405608,0.636709018661897,4.37695693704497,1.53045970961731,2.85989687251513
4.59999999999994,0.304186467986711,-0.556565015456671,0.634266524212428,4.385789540555,1.5313493314317,2.86400330122885
4.39999999999994,0.302246691804505,-0.554844712385205,0.631827284602832,4.39459929090218,1.53223538214438,2.86809673116404
4.19999999999994,0.300312922224507,-0.55312349381397,0.629391333483387,4.40338592029405,1.53311784907472,2.87217706254715
3.99999999999994,0.298385162359688,-0.551401407097828,0.626958704274756,4.41214916349346,1.53399671983397,2.87624419690481
3.79999999999994,0.296463415158182,-0.549678499324254,0.62452943016852,4.42088875784212,1.5348719823247,2.88029803706904
3.59999999999994,0.294547683404227,-0.547954817313863,0.622103544127717,4.4296044432834,1.53574362474027,2.88433848718243
3.39999999999994,0.292637969719088,-0.546230407620943,0.6196810788874,4.43829596238482,1.53661163556416,2.88836545270291
3.19999999999994,0.290734276561991,-0.544505316533996,0.617262066955205,4.4469630603599,1.53747600356941,2.89237884040845
2.99999999999994,0.288836606231048,-0.542779590076293,0.61484654061193,4.45560548508948,1.5383367178179,2.89637855840149
2.79999999999994,0.286944960864179,-0.541053274006435,0.612434531912129,4.46422298714257,1.53919376765969,2.90036451611307
2.59999999999994,0.28505934244004,-0.539326413818928,0.610026072684712,4.47281531979658,1.54004714273227,2.90433662430693
2.39999999999994,0.28317975277894,-0.537599054744757,0.607621194533566,4.48138223905713,1.54089683295981,2.90829479508315
2.19999999999994,0.281306193543762,-0.535871241751982,0.60521992883818,4.48992350367719,1.54174282855236,2.9122389418818
1.99999999999994,0.279438666240877,-0.534143019546333,0.602822306754282,4.49843887517578,1.54258512000506,2.91616897948623
1.79999999999994,0.277577172221064,-0.532414432571816,0.600428359214495,4.50692811785605,1.54342369809724,2.92008482402614
1.59999999999994,0.275721712680415,-0.530685525011332,0.598038116928992,4.51539099882289,1.54425855389161,2.92398639298055
1.39999999999994,0.273872288661253,-0.528956340787302,0.595651610386176,4.52382728799991,1.54508967873329,2.92787360518042
1.19999999999994,0.272028901053034,-0.527226923562293,0.593268869853359,4.53223675814595,1.54591706424892,2.93174638081113
0.999999999999942,0.270191550593256,-0.525497316739667,0.590889925377458,4.54061918487101,1.54674070234567,2.93560464141471
0.799999999999942,0.268360237868364,-0.523767563464225,0.588514806785705,4.54897434665156,1.54756058521025,2.93944830989189
0.599999999999942,0.266534963314646,-0.522037706622865,0.586143543686356,4.55730202484545,1.54837670530789,2.94327731050388
0.399999999999942,0.26471572721914,-0.520307788845248,0.583776165469428,4.56560200370611,1.54918905538131,2.94709156887399
0.199999999999942,0.262902529720522,-0.518577852504471,0.581412701307427,4.5738740703963,1.54999762844962,2.95089101198903
-5.77966421022198e-14,0.261095370810009,-0.516847939717747,0.579053180156103,4.58211801500123,1.55080241780724,2.95467556820045
